Platform id,Platform name,Investment name,Sec id,Management type,Asset class,Investment type,Base currency,Management description,Growth proportion,Redemption period,Performance fee description,Investment description,Pds url,Fund manager,Fund issuer,Date requested,Date added,Backfill series ticker,Backfill series name,Entry fee,Exit fee,Management fee,Rebate,Total expense ratio,Admin fee,Action fee description,Requested by,Date removed,Exchange,Manager Full name,Manager Email,Manager Website,Manager Description,Issuer Full name,Issuer Email,Issuer Website,Issuer Description
DFA0039,Dimensional Global Core Equity NZD Hgd,Dimensional Global Core Equity Trust (NZD),F00000T0HG,Managed Funds,International equities,Open-End Fund,NZD,Hybrid - index and tilts,0.0,7,,"Ordinarily, the Trust will pursue its objective by investing in a diverse group of listed securities associated with approved developed markets ex Australia.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0012,0.0012,0.00361,,0.00361,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0041.AU,Dimensional Glb Sstnblty Trust Unhdg,Dimensional Global Sustainability Trust (Unhedged),F00000WWFN,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,"The Trust may suit those investors seeking exposure to a diversified portfolio of securities listed on global developed markets (excluding Australia) with the potential for long-term capital growth. In particular, the Trust may suit those investors who seek to have certain environmental and sustainability impact and social considerations taken into account in the investment decision making process of the Trust. Investors in this Trust will be exposed to share market volatility.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.001,0.001,0.0036,,0.0036,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0042.AU,Dimensional Glb Sstnblty Trust AUD Hdg,Dimensional Global Sustainability Trust (AUD hedged),F00000WWFM,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,"The Trust may suit those investors seeking exposure to a diversified portfolio of securities listed on global developed markets (excluding Australia) with the potential for long-term capital growth. In particular, the Trust may suit those investors who seek to have certain environmental and sustainability impact and social considerations taken into account in the investment decision making process of the Trust. Investors in this Trust will be exposed to share market volatility.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0012,0.0012,0.0036,,0.0036,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0043,Dimensional Glbl Sustainability NZD Hdg,Dimensional Global Sustainability Trust (NZD),F00000X0BB,Managed Funds,International equities,Open-End Fund,NZD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of securities listed on global developed markets (excluding Australia) with the potential for long-term capital growth.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0012,0.0012,0.0036,,0.0036,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0044,Dimensional Global Real Estate NZD Hdg,Dimensional Global Real Estate Trust (NZD),F00000YCCO,Managed Funds,Listed property,Open-End Fund,NZD,Hybrid - index and tilts,0.0,3,,"Under normal circumstances, the Trust will invest in accordance with the following target allocation range: Real estate securities 100%.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,BMK0016,NZX NZL Govt Stk GR NZD,0.0012,0.0012,0.00331,,0.00331,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0045,Dimensional Two-Year Sustainability Fixed Interest Trust NZD,Dimensional Two-Year Sustainability Fixed Interest Trust (NZD),F00000YCED,Managed Funds,International fixed interest,Open-End Fund,NZD,Hybrid - index and tilts,0.0,3,,"Within the risk constraints of investing in eligible short-term, Investment Grade securities, and adjusted to take into account certain environmental and sustainability impact and social considerations, the objective of the Trust is to maximise the return of a broadly diversified portfolio of domestic and global fixed interest securities.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,DFA0001_OLD,Dimensional Two Year Diversified Fixed Interest Strategy -  NZD class Units (Gross of fees),0.0005,0.0005,0.0025,,0.0025,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0101.AU,Dimensional Australian Value Trust,Dimensional Australian Value Trust,F0AUS05KBX,Managed Funds,Australasian equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of Value Companies listed in Australia with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0008,0.0008,0.00336,,0.00336,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0102.AU,Dimensional Global Value Trust,Dimensional Global Value Trust ,F0AUS05KBY,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of large Value Companies listed on global developed markets (excluding Australia) with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0008,0.0008,0.0046,,0.0046,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0103.AU,Dimensional Aust Large Company Trust,Dimensional Australian Large Company Trust,F0AUS05KCJ,Managed Funds,Australasian equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of large companies listed in Australia with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0008001329182552721,0.0008001329182552721,0.0016,,0.0016,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0104.AU,Dimensional Aust Small Company Trust,Dimensional Australian Small Company Trust,F0AUS05KDW,Managed Funds,Australasian equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of small companies listed in Australia with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0012,0.0012,0.00603,,0.00603,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0105.AU,Dimensional Global Large Company Trust,Dimensional Global Large Company Trust ,F0AUS05KCK,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The investment objective of the Trust is to provide long-term capital growth by gaining exposure to a diversified portfolio of large companies associated with approved developed markets (excluding Australia).,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0008,0.0008,0.0024,,0.0024,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0106.AU,Dimensional Global Small Company Trust,Dimensional Global Small Company Trust ,F0AUS05KCL,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,"To provide long-term capital growth by gaining exposure to a diversified portfolio of small companies associated with approved developed markets (excluding Australia). The Trust is not managed with the objective of achieving a particular return relative to a benchmark index. However, to compare the performance of the Trust with a broad measure of market performance, reference may be made to the MSCI World ex Australia Small Cap Index (net div.).",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0012,0.0012,0.00647,,0.00647,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0107.AU,Dimensional Emerging Markets Value Trust,Dimensional Emerging Markets Value Trust,F0AUS05KCM,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of Value Companies listed on approved emerging markets with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0022,0.0022,0.00717,,0.00717,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0108.AU,Dimensional Five-Year Diversified F/I AUD,Dimensional Five Year Diversified Fixed Interest Trust (AUD class),F0AUS05KDX,Managed Funds,International fixed interest,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,"The Trust may suit those investors seeking a liquid, low risk, diversified portfolio that provides exposure to the returns of short-term global fixed interest securities.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0005,0.0005,0.0028000000000000004,,0.0028000000000000004,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0642.AU,Dimensional Glbl Bond Sustainability AUD,Dimensional Global Bond Sustainability Trust (AUD class),F0000107TM,Managed Funds,International fixed interest,Open-End Fund,AUD,Hybrid - index and tilts,0.0,2,,"The Trust is managed to invest in a broadly diversified portfolio of eligible intermediate term domestic and global fixed interest and money market securities. Within portfolio constraints, including controls on portfolio maturity, security maturity, credit quality and diversification, and adjusted to take into account certain environmental and sustainability impact and social considerations, the objective of the Trust is to maximise the return of the portfolio. The Trust is not managed with the objective of achieving a particular return relative to a benchmark index. ",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,BMK0209,Dimensional Global Adjusted Investment Grade Index (AUD hedged),0.0010002990584813604,0.0010002990584813604,0.0034999999999999996,,0.0034999999999999996,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA2068.AU,Dimensional Australian Sustainability,Dimensional Australian Sustainability Trust,F000011JMX,Managed Funds,Australasian equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,2,,"Ordinarily, the Trust will invest in a diversified market-wide portfolio of Australian listed securities. Eligible securities for the strategy include securities of companies and Real Estate Investment Trusts (REITs) and REIT-like entities listed in Australia.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,BMK0052,Dimensional Australia Core Equity Index,0.0008,0.0008,0.0028,,0.0028,0,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA6872,Dimensional Glbl Bond Sustainability NZD,Dimensional Global Bond Sustainability Trust (NZD),F0000107TN,Managed Funds,International fixed interest,Open-End Fund,NZD,Hybrid - index and tilts,0.0,2,,"The Trust is managed to invest in a broadly diversified portfolio of eligible intermediate term domestic and global fixed interest and money market securities. Within portfolio constraints, including controls on portfolio maturity, security maturity, credit quality and diversification, and adjusted to take into account certain environmental and sustainability impact and social considerations, the objective of the Trust is to maximise the return of the portfolio. The Trust is not managed with the objective of achieving a particular return relative to a benchmark index. ",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,BMK0210,Dimensional Global Adjusted Investment Grade Index (NZD hedged),0.001,0.001,0.0032,,0.0032,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
EURCash,Euro (EUR),European Monetary Unit,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
FA026XP,Mercer Macquarie NZ Fixed Interest Fund - MIF F,Mercer Macquarie NZ Fixed Interest Fund (MIF F),F0AUS07320,Managed Funds,New Zealand fixed interest,Open-End Fund,NZD,Active - self described,0.0,2,,"The fund is a diversified portfolio of primarily investment grade quality corporate and government securities. Derivatives are frequently utilised to manage risk. The portfolio is structured to add value through credit risk management and interest rate management. The portfolio may also contain a modest amount of foreign currency fixed interest securities, 100% hedged back to New Zealand dollars. Environmental, social and governance characteristics are integrated into the investment process.",https://www.macquarieim.com/,Mercer,Mercer,2020-12-01 00:00:00,2021-01-01 00:00:00,BFS_FA026XP,Backfill: AMP Capital NZ Fixed Interest Fund (PIE),0.0007,0.0007,0.0059,0.002,0.0039,0,,,,,Mercer (NZ) Ltd,clientservicecentre@ampcapital.com,www.mercer.co.nz,"Operating in Aotearoa for over 65 years, Mercer globally has over USD$500bn in assets under management.",Mercer (NZ) Ltd,clientservicecentre@ampcapital.com,www.mercer.co.nz,"Operating in Aotearoa for over 65 years, Mercer globally has over USD$500bn in assets under management."
GBPCash,Pound sterling (GBP),British Pound,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
JPYCash,Japanese Yen (JPY),Japanese Yen,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
NZDCash,New Zealand Dollar (NZD),New Zealand Dollar,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
SGDCash,Singaporean Dollar (SGD),Singapore Dollar,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
SSNZCE,Smartshares NZ Core Equity,SmartShares NZ Core Equity,F00000V8GN,Managed Funds,Australasian equities,Open-End Fund,NZD,Passive - index,0.0,10," 
 ","The NZ Core Equity Trust aims to provide investors with the benefits of long-term capital growth by investing in a diversified portfolio of financial products listed in New Zealand, with increased exposure to small companies and value companies relative to a market weighted portfolio. Value companies are companies with a low price relative to various financial measures, including book value, cash flow and earnings. DFA Australia Limited is the investment manager for NZ Core Equity Trust. DFA Australia Limited is the Australian subsidiary of Dimensional Fund Advisors LP, which is based in the United States and was formed in 1981.",https://smartshares.co.nz/types-of-funds,DFA Australia,Smartshares,2020-12-01 00:00:00,2021-01-01 00:00:00,BFS_SSNZCE.withICs,"Backfill: DFA NZ Core Equity Fund (inc ICs, CIC ImportFile)",0.001,0.001,0.005,0.0015,0.0035,,"Nil
 
 ",,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Smartshares Limited,,,
USDCash,United States Dollar (USD),United States Dollar,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
VAN0003.AU,Vanguard International Shares Index,Vanguard International Shares Index Fund,F0AUS05IKO,Managed Funds,International equities,Open-End Fund,AUD,Passive - index,0.0,3,,"The Vanguard International Shares Index Fund is a low-cost managed fund that aims to track the MSCI World ex-Australia Index, giving investors broad exposure to large companies in developed countries (excluding Australia)",https://www.vanguard.com.au/adviser/products/en/list/overview,Vanguard (Australia),Vanguard (Australia),2025-05-12 00:00:00,2025-07-01 00:00:00,,,0.0006,0.0006,0.0018,,0.0018,,,max.paterson@consilium.co.nz,2099-12-31 00:00:00,,Vanguard Investments Australia Ltd,clientservices@vanguard.com.au,www.vanguard.com.au,"Founded in 1975, Vanguard is the world's second largest fund manager, managing over USD 10 trillion in assets globally.",Vanguard Investments Australia Ltd,clientservices@vanguard.com.au,www.vanguard.com.au,"Founded in 1975, Vanguard is the world's second largest fund manager, managing over USD 10 trillion in assets globally."
VAN1233,Vanguard Etclly Cons Glb Agg Bd IdxHNZDH,Vanguard Ethically Conscious Global Aggregate Bond Index Fund (NZD),F0000113B7,Managed Funds,International fixed interest,Open-End Fund,NZD,Passive - index,0.0,2,,"Vanguard Ethically Conscious Global Aggregate Bond Index Fund (Hedged) - NZD Hedged seeks to track the return of the Bloomberg Barclays MSCI Global Aggregate SRI Exclusions Float Adjusted Hedged into New Zealand dollars Index before taking into account fees, expenses and tax.",https://www.vanguard.com.au/adviser/products/en/list/overview,Vanguard (Australia),Vanguard (Australia),2020-12-01 00:00:00,2021-01-01 00:00:00,BMK0018,Bloomberg Global Aggregate Bond Index (NZD),0.0013,0.0013,0.0028,,0.0028,,,,,,Vanguard Investments Australia Ltd,clientservices@vanguard.com.au,www.vanguard.com.au,"Founded in 1975, Vanguard is the world's second largest fund manager, managing over USD 10 trillion in assets globally.",Vanguard Investments Australia Ltd,clientservices@vanguard.com.au,www.vanguard.com.au,"Founded in 1975, Vanguard is the world's second largest fund manager, managing over USD 10 trillion in assets globally."
